"","sample_ID","PC_1","PC_2","stage","sample_resource"
"A-E7.5","NE-E7.5-1",106.783223041084,80.2346241689586,"E7.5","NE"
"AD-D8ETiX","ETiX-Day8-1",-78.0968132814361,-18.5242222483205,"Day8","ETiX"
"AP-E8.75","NE-E8.75",-43.0060568786701,-36.3325796379983,"E8.75","NE"
"AU-D8ETiX-98","ETiX-Day8-2",-78.5423338027303,19.6368443597294,"Day8","ETiX"
"AV-D8ETix-98","ETiX-Day8-3",-37.8890157129622,-57.0058410972974,"Day8","ETiX"
"AW-D8ETiX-98","ETiX-Day8-4",-65.1302289866142,-10.6709155140576,"Day8","ETiX"
"AY-D8ETiX-98","ETiX-Day8-5",-68.9169670584455,41.0165756057943,"Day8","ETiX"
"BB-E9.5-partial","NE-E9.5-1",-98.5089115242346,35.1166477332579,"E9.5","NE"
"BC-E9.5-noturning","NE-E9.5-2",-58.8099096576902,-32.4257038933007,"E9.5","NE"
"D-E7.5-early","NE-E7.5-2",107.10977785057,23.4730965388685,"E7.5","NE"
"G-E7.5late","NE-E7.5-3",73.7100856069786,91.2628760793247,"E7.5","NE"
"J-E8","NE-E8",28.5036505992767,-14.9612622216575,"E8","NE"
"O-E8.5","NE-E8.5",-28.6197040957823,69.2278485925508,"E8.5","NE"
"W-D6ETiX","ETiX-Day6-1",80.3025877053402,-67.048844414152,"Day6","ETiX"
"X-D6ETiX","ETiX-Day6-2",79.8996085776044,-22.2818859118226,"Day6","ETiX"
"Y-D6ETiX","ETiX-Day6-3",81.2110076177294,-100.717258139876,"Day6","ETiX"
