"sample_ID","celltype","cell_number","cell_fraction_per_embryo"
"ETiX-Day6-1","Endothelium",45,0.00478519778817524
"ETiX-Day6-1","White blood cells",1,0.000106337728626117
"ETiX-Day6-1","Primitive erythroid cells",1,0.000106337728626117
"ETiX-Day6-1","Paraxial mesoderm",1,0.000106337728626117
"ETiX-Day6-1","Neuromesodermal progenitors",6,0.000638026371756699
"ETiX-Day6-1","Neuroectoderm",6,0.000638026371756699
"ETiX-Day6-1","Surface ectoderm",13,0.00138239047213952
"ETiX-Day6-1","Gut",7,0.000744364100382816
"ETiX-Day6-1","Parietal endoderm",626,0.066567418119949
"ETiX-Day6-1","Visceral endoderm",1360,0.144619310931519
"ETiX-Day6-1","Amniotic mesoderm",4,0.000425350914504466
"ETiX-Day6-1","Allantois",3,0.00031901318587835
"ETiX-Day6-1","Extraembryonic ectoderm",2488,0.264568268821778
"ETiX-Day6-1","Hematoendothelial progenitors",225,0.0239259889408762
"ETiX-Day6-1","Early development",4618,0.491067630795406
"ETiX-Day6-2","Endothelium",46,0.0235655737704918
"ETiX-Day6-2","Cardiac mesoderm",1,0.000512295081967213
"ETiX-Day6-2","Paraxial mesoderm",24,0.0122950819672131
"ETiX-Day6-2","Neuromesodermal progenitors",17,0.00870901639344262
"ETiX-Day6-2","Neural crest",2,0.00102459016393443
"ETiX-Day6-2","Neuroectoderm",1,0.000512295081967213
"ETiX-Day6-2","Surface ectoderm",15,0.0076844262295082
"ETiX-Day6-2","Gut",12,0.00614754098360656
"ETiX-Day6-2","Parietal endoderm",166,0.0850409836065574
"ETiX-Day6-2","Visceral endoderm",198,0.101434426229508
"ETiX-Day6-2","Amniotic mesoderm",4,0.00204918032786885
"ETiX-Day6-2","Allantois",15,0.0076844262295082
"ETiX-Day6-2","Extraembryonic ectoderm",204,0.104508196721311
"ETiX-Day6-2","Hematoendothelial progenitors",16,0.00819672131147541
"ETiX-Day6-2","Early development",1231,0.630635245901639
"ETiX-Day6-3","Endothelium",40,0.0100755667506297
"ETiX-Day6-3","Paraxial mesoderm",5,0.00125944584382872
"ETiX-Day6-3","Neuromesodermal progenitors",13,0.00327455919395466
"ETiX-Day6-3","Neural crest",1,0.000251889168765743
"ETiX-Day6-3","Neuroectoderm",4,0.00100755667506297
"ETiX-Day6-3","Surface ectoderm",1,0.000251889168765743
"ETiX-Day6-3","Gut",1,0.000251889168765743
"ETiX-Day6-3","Parietal endoderm",172,0.0433249370277078
"ETiX-Day6-3","Visceral endoderm",540,0.136020151133501
"ETiX-Day6-3","Amniotic mesoderm",2,0.000503778337531486
"ETiX-Day6-3","Allantois",3,0.000755667506297229
"ETiX-Day6-3","Extraembryonic ectoderm",1114,0.280604534005038
