"","Early development","Hematoendothelial progenitors","Extraembryonic ectoderm","Allantois","Amniotic mesoderm","Visceral endoderm","Parietal endoderm","Gut","Surface ectoderm","Neuroectoderm","Neural crest","Neuromesodermal progenitors","Paraxial mesoderm","Cardiac mesoderm","Heart field","Primitive erythroid cells","Megakaryocytes","White blood cells","Endothelium"
"Early development",1.24044627429285,2e-04,0.000387947051619035,0.00610799027490296,0.000230748229302685,0.000383076890845671,2e-04,0.00198429272963667,0.000589573185939889,0.0107147065251114,0.00893767422781113,0.00193785795363517,0.013081278856825,2e-04,2e-04,0.00225765866719525,0.00390487117311867,0.000708466277079174,0.000498020357096696
"Hematoendothelial progenitors",0.0163075506131471,1.18384569067538,2e-04,0.000222500569944335,0.000318438070900811,2e-04,0.00030013017710124,0.0171967802184455,0.000452804134013838,0.000867221002876346,2e-04,2e-04,0.00135076034599218,0.000394371858067178,2e-04,0.000381813451405056,0.0271622544509175,0.00123200601116284,0.000404064025076629
"Extraembryonic ectoderm",0.0180680794306498,0.0334743968983755,0.787250580761191,2e-04,0.0114793248110646,0.0323098784082736,0.00150266989076419,2e-04,0.00464550058954473,2e-04,0.000632938107560193,2e-04,0.002066505159019,2e-04,0.000776550274090588,0.00699316562394924,0.00205821295979525,0.00233769791981348,0.00875253104220259
"Allantois",2e-04,0.040297207865859,0.0246776786752902,1.37538378302232,0.0317487085585905,0.00336263340258705,0.000384056896045421,2e-04,0.000466887995952726,2e-04,0.00071770919946688,0.000837509909563459,0.000629280286195876,2e-04,2e-04,2e-04,2e-04,0.00300839692140004,2e-04
"Amniotic mesoderm",0.000282654802301316,2e-04,0.0336821543471405,2e-04,1.20442356769277,2e-04,2e-04,0.000299462648080077,0.000331426302663931,2e-04,0.000223966660167191,2e-04,0.000263380243975476,2e-04,2e-04,2e-04,0.000222645869341956,2e-04,2e-04
"Visceral endoderm",0.00123797718911613,0.000367382038999451,0.00443945608212562,0.00122371641742743,0.0071487570620535,1.42965002237845,0.000359364391277733,0.000228380071640087,2e-04,2e-04,0.000663126280838348,2e-04,0.000702805449668004,0.000247783882436019,2e-04,0.00116119058215505,0.000688863009448956,0.000444110710937919,0.000635477354277196
"Parietal endoderm",0.000476928059975038,2e-04,2e-04,2e-04,0.00105563843253783,0.00553638828350894,1.93538486842555,0.000709822325762285,2e-04,0.0261306378726127,2e-04,0.000394255035297815,2e-04,0.000517658282445392,2e-04,2e-04,0.00093567544374471,0.0145917083531072,2e-04
"Gut",0.00138990429068422,2e-04,2e-04,2e-04,0.00172069580258947,0.0378859503109677,0.000371160671731848,1.35322450312156,0.000456034523891579,0.000623563389700833,0.000902018784025461,0.00135320929490715,0.00130544612967862,0.000207076274977644,2e-04,2e-04,2e-04,2e-04,0.0040032547115832
"Surface ectoderm",0.000808458145476807,2e-04,0.0145591801921861,2e-04,2e-04,0.00156772071765093,2e-04,0.00485204937588943,1.65545724877877,0.0036678025812772,0.000846466519985273,2e-04,2e-04,2e-04,2e-04,2e-04,0.00425793297287631,2e-04,2e-04
"Neuroectoderm",2e-04,0.00150994705201791,0.000381605836459054,2e-04,2e-04,0.0117526805873673,2e-04,0.00025225023057563,2e-04,1.58670835351599,2e-04,0.000332362105748048,2e-04,2e-04,2e-04,0.000337883176918646,0.0107247022995122,0.000722688115456998,0.000813486396152376
"Neural crest",2e-04,0.00165538682554821,0.0316098806834538,2e-04,0.000234492917951722,0.00164358208830718,0.000420511236516679,0.0302931279185867,0.00164631401967146,0.0187166939206884,1.33677803751215,0.00164937474656953,0.000734219720848035,2e-04,2e-04,0.116687004407093,0.0100388751071791,2e-04,2e-04
"Neuromesodermal progenitors",0.0015725281535035,0.00836530914724216,0.000564830728926434,2e-04,2e-04,2e-04,0.00230848624475177,2e-04,2e-04,0.00160652191522226,2e-04,1.59046833614537,2e-04,0.00158399764356139,0.000518585327491725,2e-04,0.00504392533166842,0.00222419937663612,0.000682723769745602
"Paraxial mesoderm",2e-04,2e-04,0.000322469247650384,0.00160413317602486,0.00511327448129077,2e-04,2e-04,0.000507293281043893,0.00105313067359653,0.00305355114020189,0.00852156434727744,2e-04,1.6263423499329,2e-04,2e-04,0.00874268965128064,2e-04,0.00133361998251762,0.000701648637454115
"Cardiac mesoderm",2e-04,0.0721669307285207,0.0136206927169679,0.00488901562222402,0.016182042501315,0.00616938529861197,0.000316233493538304,0.000785524712033446,0.00821174462915707,0.00167075366164105,0.000709449870942157,0.00143982850960799,0.00147342610522269,1.66794230142362,0.00232194157912569,0.000930310561687672,0.00086924303526774,0.00458683475785173,0.000489414405997252
"Heart field",0.00348390657129558,0.121312020436131,0.00702100363467162,0.00084608400208073,2e-04,0.00417140002237546,0.00133409622149577,0.0181907892270464,2e-04,0.00197404223831558,2e-04,2e-04,2e-04,2e-04,1.97940766837718,2e-04,0.00158346164499903,0.00499464709256069,2e-04
"Primitive erythroid cells",2e-04,2e-04,0.000341203941531583,2e-04,2e-04,2e-04,0.00100781712820642,0.00105227407848689,2e-04,2e-04,2e-04,0.00199220933262621,2e-04,2e-04,2e-04,1.70085258435004,2e-04,2e-04,2e-04
"Megakaryocytes",0.00104747592322623,0.000538086084595199,0.000277711939237425,0.000370813485535881,0.000273142765500728,2e-04,0.000394754781845343,0.00021868663378582,0.00154386342208812,2e-04,0.00402796095640473,0.0057826696741295,0.00199827774835813,2e-04,2e-04,0.000456387143326187,1.36664893152713,0.000759256507318909,0.000253366553842096
"White blood cells",0.0583864479441219,0.00430275598007333,2e-04,0.000598309467991534,2e-04,0.0189704008368176,0.00022865250343733,2e-04,2e-04,2e-04,0.0327683268820179,0.00912382028617288,0.000270662122642788,2e-04,2e-04,0.000382398296111234,0.00282105527462727,1.74815276602776,0.000273616623069957
"Endothelium",2e-04,0.0199814430435122,0.0012095941047757,2e-04,0.00271375868593222,0.00220268847608923,0.00118018537800823,2e-04,2e-04,2e-04,0.00036952287604019,2e-04,0.000281257443879403,2e-04,0.000936718755869195,2e-04,0.0016949193833345,0.0010400465670884,1.84208401397496
